WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,,,1.1.20,1.2.20,1.3.20,1.4.20,1.6.20,1.7.20,1.8.20,1.9.20,1.10.20,1.11.20,1.13.20,1.14.20,1.15.20,1.16.20,1.17.20,1.18.20,1.20.20,1.21.20,1.22.20,1.23.20,1.24.20,1.25.20
Primer,,,Warm Up 3,Warm Up 5,Warm Up 3,Warm Up 12,Warm Up 4,Warm Up 14,Warm Up 4,Warm Up 5,Warm Up 15,Warm Up 11,Warm Up 16,Warm Up 2,Warm Up 6,,Warm Up 10,Warm Up 15,Warm Up 11,Warm Up 9,Warm Up 11,,Warm Up 9,Warm Up 8
Strength,,,,,,,,,ref 10.28.19,,,ref 1.19.19,ref 1.8.19,,,,,ref 1.22.19,,ref 1.25.19,,,,ref 1.26.19
Athlete,,,Barefoot Deadlift 7x4@ 70%,Bench 7x4@ 70%,Barefoot Squats 7x4@ 70%,,Deadlifts 7x4@ 75%,Hang Sn Pull (knee) 3x3@ 60% | Sn Pull 5x3@ 60%,Back Squats 7x4@ 75%,,Hang Cl Pull (knee) 3x3@ 60% | Cl Pull (floor) 5x3@ 60%,,Back Squats 7x3@ 80%,Cl Pull (floor) 2x3@ 65% | Power Cl 4x3@ 65%,Deadlifts 7x3@ 80%,,Sn Pull (floor) 2x3@ 65% | Power Sn 4x3@ 65%,Bench 7x4@ 75%,Deadlifts 7x3@ 83%,Power Snatch 6x3@ 65%,Back Squats 7x3@ 83%,,Power Clean 6x3@ 65%,
Enthusiast,,,Barefoot Deadlift 7x4@ 65%,Bench 7x4@ 165/115,Barefoot Squats 7x4@ 65%,,Deadlifts 7x4@ 70%,Sn Pull (PP) 5x3@ 75/45 | Sn Hi Pull (PP) 5x3@ 75/45,Back Squats 7x4@ 70%,,Cl Pull (PP) 5x3@ 95/65 | Cl Hi Pull (PP) 5x3@ 95/65,,Back Squats 7x3@ 75%,Clean Hi Pull (PP) 3x3@ 115/75 | Power Cl (PP) 4x3@ 135/85,Deadlifts 7x3@ 75%,,Sn Hi Pull (PP) 2x3@ 85/55 | Power Sn (PP) 4x3@ 85/55,Bench 7x4@ 70%,Deadlifts7x3@ 77%,Power Sn (PP) 6x3@ 85/55,Back Squats 7x3@ 77%,,Power Cl (PP) 6x3@ 135/85,
Foundation,,,Barefoot RDL 7x4@ 125/80,Bench 7x4@ 95/65,Barefoot Box Squats 7x4@ 115/75,,RDL's 7x4@ 135/85,OHS 5x3@ pvc | SN DL 5x3@ 45/35,Box Squats 7x4@ 125/80,,Front Sq 5x3@ 45/35 | RDL 5x3@ 95/65,,Box Squats 7x3@ 135/85,Front Sq 6x3@ 75/45,RDL 7x3@ 145/90,,OHS 6x3@ 45/35,Bench 7x4@ 115/75,RDL 7x3@ 155/95,OHS 4x3@ 45/35 | Sn Grip RDL 3x3@ 95/65,Box Squats 7x3@ 145/90,,Fr Sq 4x3@ 75/45 | RDL 4x3@ 95/65,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,Baseline | Baseline 2.0,How to create shoulders of steel,,Javorek Barbell Complex #3 w/ Barbell,,,,How to create hips of steel,,The Mooch,,,,How to create knees of steel,,,,,,,,
Athlete,,,2rds; for best time,Stretch it out- Overhead Stretch | PVC Ext. Rot. | Chest Smash | Prayer Stretch,EMOM for 12min,5rds | AHAP,6rds; for time,20min AMRAP,10-9-8-7-6-5-4-3-2-1,Stretch it out- Frog Sit | Side Hip Smash | IT Band Smash | Fig 4 Stretch | Worlds Greatest,6rds,9min AMRAP,15min AMRAP,EMOM for 15min; for max reps,21-15-9-6-3,Stretch it out- Quad sm | adduct sm | ham stretch | calf sm | knee gapping | IT band smash,8rds; for time,10min AMRAP (60% Clean Max),EMOM for 12min,5rds; 1min ea rd; 1min rest between sets,15min AMRAP,,7rds; for max reps,for time
,,,500m Row,Activate- Frontal Raise w/ lat resist | Db Serrauts Ant. Act. | Prone IYT's,Min 1: Shoulder press (40's/25's)*,6 Curls,15 Wall Balls (20/14),10 Shoulder Press (50's/35's),for time,Activate- Single Leg Glute Bridges | Clams | Recliners | Iso Kickbacks,30 Bench (10 narrow | 10 med | 10 wide)(115/75),3 Back Squats (225/155),20 Db Lunges (50's/35's),Min 1: Sled Drags (115/70),for time,Activate- single leg glute bridge (20 sec sets) | side steps | single leg squats ,10yd Broad Jump,5 Deadlifts,5 Hang Muscle Clean (95/65),Db Ground to Overhead (50/35),"3 Box Jump (33""/27"")",,3 Bench (83%),9 Thrusters (85% BW)*
,,,40 Squats (bw),Functional- Db Sh Pr (against squat rack) | Floor Press | Ring Rows,Min 2: Chest to Bar Pull Ups,6 Upright Row,15 Chin Ups (15/5),15 Banded Rows,Front Squats (155/95),Functional- Side steps | Good mornings | Tempo Squats | Heel touches,20 Bent Over Rows (50's/35's),6 Pull Ups,10 Ring Dips,Min 2: Banded Front. Raises (15's/10's),Thrusters (50's/35's),Functional- Good Mornings | RDLs | Squats,10 Shoulder Press (115/75),4 Power Cleans,"6 Step Ups (24"")(50/35)",Pull Ups ,10ea Single Leg RDL (50/35),,Max Strict Chin Ups,19 Toes to Bar
,,,30 Sit Ups,,,6 Hi Pull Snatch (from hip),,20 RDL's (50's/35's),Bar Over Burpees,,,9 Ring Dips,,Min 3: Row (for cal),Chest to Bar Pull Up,,40yd Plate Carry (25/15)(Db's end up),3 Front Squats,10 Dubs,Burpees,15 Seated Ham Curls,,,6 Thrusters (85% BW)
,,,20 Ring Dips,,*Sh Pr Against Squat Rack,6 BNP,,,,,,,,,,,,2 Shoulder to Overhead,,,20 V-Ups,,,16 Toes to Bar
,,,10 Chest to Bar Pull Ups,,,8 BOR,,,,,,,,,,,,,,,,,,3 Thrusters (85% BW)
,,,,,,6 BN Push Press,,,,,,,,,,,,,,,,,,13 Toes to Bar
,,,,,,10 Good Morning,,,,,,,,,,,,,,,,,,
,,,,,,10 Quarter Squat,,,,,,,,,,,,,,,,,,*Up to 225lbs
,,,,,,10 RDL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,,,2rds; for best time,How to create shoulders of steel,EMOM for 12min,5rds | AHAP,6rds; for time,20min AMRAP,10-9-8-7-6-5-4-3-2-1,How to create hips of steel,6rds,9min AMRAP,15min AMRAP,EMOM for 15min; for max reps,21-15-9-6-3,How to create knees of steel,8rds; for time,10min AMRAP (135/95),EMOM for 12min,5rds; 1min ea rd; 1min rest between sets,15min AMRAP,,7rds; for max reps,for time
,,,500m Row,Stretch it out- Overhead Stretch | PVC Ext. Rot. | Chest Smash | Prayer Stretch,Min 1: Shoulder press (25's/15's)*,6 Curls,15 Wall Balls (20/14),10 Shoulder Press (40's/25's),for time,Stretch it out- Frog Sit | Side Hip Smash | IT Band Smash | Fig 4 Stretch | Worlds Greatest,30 Bench (10 narrow | 10 med | 10 wide)(95/65),3 Back Squats (185/105),20 Db Lunges (40's/25's),Min 1: Sled Drags (90/45),for time,Stretch it out- Quad sm | adduct sm | ham stretch | calf sm | knee gapping | IT band smash,10yd Broad Jump,5 Deadlifts,5 Kb Swings (70/55),Db Ground to Overhead (40/25),3 Box Jump (24/20),,3 Bench (77%),9 Thrusters (60% BW)
,,,40 Squats (bw),Activate- Frontal Raise w/ lat resist | Db Serrauts Ant. Act. | Prone IYT's,Min 2: Pull ups (bw/band),6 Upright Row,15 Chin Ups (bw/banded),15 Banded Rows,Front Squats (115/75),Activate- Single Leg Glute Bridges | Clams | Recliners | Iso Kickbacks,20 Bent Over Rows (40's/25's),6 Pull Ups,10 Push Up,Min 2: Banded Front. Raises (10's/5's),Thrusters (40's/25's),Activate- single leg glute bridge (20 sec sets) | side steps | single leg squats ,10 Shoulder Press (95/65),4 Power Cleans,"6 Step Ups (20"")(40/25)",Pull Ups ,10ea Single Leg RDL (40/25),,Max Chin Ups (bw/band),19 Toes to Bar
,,,30 Sit Ups,Functional- Db Sh Pr (against squat rack) | Floor Press | Ring Rows,,6 Hi Pull Snatch (from hip),,20 RDL's (40's/25's),Burpees,Functional- Side steps | Good mornings | Tempo Squats | Heel touches,,9 Push Ups,,Min 3: Row (for cal),Pull Up,Functional- Good Mornings | RDLs | Squats,40yd Plate Carry (25/15),3 Front Squats,10 Dubs,Burpees,15 Seated Ham Curls,,,6 Thrusters (60% BW)
,,,20 Push Ups,,*Sh Pr Against Squat Rack,6 BNP,,,,,,,,,,,,2 Shoulder to Overhead,,,20 Tuck Ups,,,16 Toes to Bar
,,,10 Pull Ups,,,8 BOR,,,,,,,,,,,,,,,,,,3 Thrusters (60% BW)
,,,,,,6 BN Push Press,,,,,,,,,,,,,,,,,,13 Toes to Bar
,,,,,,10 Good Morning,,,,,,,,,,,,,,,,,,
,,,,,,10 Quarter Squat,,,,,,,,,,,,,,,,,,
,,,,,,10 RDL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,,,2rds; for best time,How to create shoulders of steel,EMOM for 12min,5rds | AHAP,6rds; for time,20min AMRAP,10-9-8-7-6-5-4-3-2-1,How to create hips of steel,6rds,9min AMRAP,15min AMRAP,EMOM for 15min; for max reps,21-15-9-6-3,How to create knees of steel,8rds; for time,10min AMRAP (95/65),EMOM for 12min,5rds; 1min ea rd; 1min rest between sets,15min AMRAP,,7rds; for max reps,for time
,,,500m Row,Stretch it out- Overhead Stretch | PVC Ext. Rot. | Chest Smash | Prayer Stretch,Min 1: Shoulder press (15's/10's)*,6 Curls,15 Wall Balls Thrusters (20/14),10 Shoulder Press (25's/15's),for time,Stretch it out- Frog Sit | Side Hip Smash | IT Band Smash | Fig 4 Stretch | Worlds Greatest,30 Bench (10 narrow | 10 med | 10 wide)(75/45),3 Box Squats (95/65),20 Db Lunges (25's/15's),Min 1: Sled Drags (45/25),for time,Stretch it out- Quad sm | adduct sm | ham stretch | calf sm | knee gapping | IT band smash,10 Squat Jump (in place),5 Deadlifts,5 Kb Swings (55/35),Db Ground to Overhead (25/15),3 Plate Jump (AHiAP),,3 Bench (135/85),9 Db Thrusters (40's/25's)
,,,40 Squats to box,Activate- Frontal Raise w/ lat resist | Db Serrauts Ant. Act. | Prone IYT's,Min 2: Ring Rows,6 Upright Row,15 Ring Rows,15 Banded Rows,Goblet Squats (55/35),Activate- Single Leg Glute Bridges | Clams | Recliners | Iso Kickbacks,20 Banded Rows,6 Ring Rows,10 Incline Push Ups,Min 2: Banded Front. Raises (bw),Thrusters (25's/15's),Activate- single leg glute bridge (20 sec sets) | side steps | single leg squats ,10 Shoulder Press (75/45),4 Power Cleans,"6 Step Ups (20"")(bw)",Ring Rows,10ea Single Leg RDL (bw),,Max Chin Ups (bw/band),19 HKR
,,,30 Crunches,Functional- Db Sh Pr (against squat rack) | Floor Press | Ring Rows,,6 Hi Pull Snatch (from hip),,20 RDL's (25's/15's),Burpees (no push up),Functional- Side steps | Good mornings | Tempo Squats | Heel touches,,9 Knee Push Ups,,Min 3: Row (for cal),Ring Rows,Functional- Good Mornings | RDLs | Squats,40yd Plate Carry (25/15),3 Front Squats,20 Singles,Burpees (no push ups),15 Seated Ham Curls,,,6 Db Thrusters (40's/25's)
,,,20 Incline Push Ups,,*Sh Pr Against Squat Rack,6 BNP,,,,,,,,,,,,2 Shoulder to Overhead,,,20 Tuck Ups (legs only),,,16 HKR
,,,10 Ring Rows,,,8 BOR,,,,,,,,,,,,,,,,,,3 Db Thrusters (40's/25's)
,,,,,,6 BN Push Press,,,,,,,,,,,,,,,,,,13 HKR
,,,,,,10 Good Morning,,,,,,,,,,,,,,,,,,
,,,,,,10 Quarter Squat,,,,,,,,,,,,,,,,,,
,,,,,,10 RDL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,3min Glute Bridge,,50 Banded Rows,5x Sled Drag/Push (110/55),3min Glute Bridge,1min Battle Rope,2min Couch Mob (ea side),,40 Bi's and Tri's,1min Striking Drill,30ea Heel Touches,1min Battle Rope,2min Samson St (ea side),,60 Banded Rows,20 Dragon Flags & 10 MU,3min Glute Bridge,60 IYT's,2min Couch (ea),,40 Bi's and Tri's,Max Dubs in 5min
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Min 1: 15 Bent Over Row (backpack),#VALUE!,20 Squats,30-20-10,15min AMRAP,5rds; for time,21-15-9-6-3,#VALUE!,4rds; for max reps,#REF!,15min AMRAP,5rds; for max reps,10min AMRAP,#VALUE!,8rds; for time,#REF!,9rds; for time,20min AMRAP; for max distance,15min AMRAP,#VALUE!,EMOM for 12min; max ab reps,for time
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,#REF!,#REF!,#REF!,#REF!,Wall Shoulder Press,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5 Burpees,2 Squats,#VALUE!,On Incline,#VALUE!,#VALUE!,15 Jumping Jacks,20 V-Ups,#VALUE!,Reverse Snow Angels,#VALUE!,#VALUE!,#VALUE!